Track Name,,Line name,1150114XYLDN,Report Name,Wear_right,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
326,101.718500,17.2,25.5,30.0,22.6,
327,101.718250,inf,inf,inf,inf,
328,101.718000,inf,inf,inf,inf,
329,101.717750,17.2,25.5,30.0,22.6,
330,101.717500,inf,inf,inf,inf,
331,101.717250,inf,inf,inf,inf,
332,101.717000,17.2,25.5,30.0,22.6,
333,101.716750,inf,inf,inf,inf,
334,101.716500,inf,inf,inf,inf,
335,101.716250,17.2,25.6,30.0,22.7,
336,101.716000,inf,inf,inf,inf,
337,101.715750,inf,inf,inf,inf,
338,101.715500,17.6,25.6,30.0,23.0,
339,101.715250,inf,inf,inf,inf,
340,101.715000,inf,inf,inf,inf,
341,101.714750,17.6,25.6,30.0,22.9,
342,101.714500,inf,inf,inf,inf,
343,101.714250,inf,inf,inf,inf,
344,101.714000,15.1,25.3,30.0,20.7,
345,101.713750,inf,inf,inf,inf,
346,101.713500,inf,inf,inf,inf,
347,101.713250,14.4,25.2,30.0,20.1,
348,101.713000,inf,inf,inf,inf,
349,101.712750,inf,inf,inf,inf,
350,101.712500,14.1,25.2,30.0,19.8,
351,101.712250,inf,inf,inf,inf,
352,101.712000,inf,inf,inf,inf,
353,101.711750,13.4,25.1,29.6,19.2,
354,101.711500,inf,inf,inf,inf,
355,101.711250,inf,inf,inf,inf,
356,101.711000,13.7,25.2,29.8,19.5,
357,101.710750,inf,inf,inf,inf,
358,101.710500,inf,inf,inf,inf,
359,101.710250,15.0,25.3,30.0,20.7,
360,101.710000,inf,inf,inf,inf,
361,101.709750,inf,inf,inf,inf,
362,101.709500,16.4,25.4,30.0,21.9,
363,101.709250,inf,inf,inf,inf,
364,101.709000,inf,inf,inf,inf,
365,101.708750,17.1,25.5,30.0,22.5,
366,101.708500,inf,inf,inf,inf,
367,101.708250,inf,inf,inf,inf,
368,101.708000,17.5,25.5,30.0,22.8,
369,101.707750,inf,inf,inf,inf,
370,101.707500,inf,inf,inf,inf,
371,101.707250,17.5,25.6,30.0,22.8,
372,101.707000,inf,inf,inf,inf,
373,101.706750,inf,inf,inf,inf,
374,101.706500,17.4,25.5,30.0,22.7,
375,101.706250,inf,inf,inf,inf,
376,101.706000,inf,inf,inf,inf,
377,101.705750,17.2,25.6,30.0,22.6,
378,101.705500,inf,inf,inf,inf,
379,101.705250,inf,inf,inf,inf,
380,101.705000,17.5,25.6,30.0,22.9,
381,101.704750,inf,inf,inf,inf,
382,101.704500,inf,inf,inf,inf,
383,101.704250,17.5,25.6,30.0,23.0,
384,101.704000,inf,inf,inf,inf,
385,101.703750,inf,inf,inf,inf,
