Track Name,,Line name,1150114XYLDN1,Report Name,Wear_right,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
297,100.896750,0.2,1.0,1.7,1.2,
298,100.896500,0.0,0.6,1.4,1.0,
299,100.896250,0.6,0.5,1.4,1.0,
300,100.896000,0.0,0.9,1.5,1.1,
301,100.895750,0.7,0.5,1.4,1.0,
302,100.895500,0.1,0.8,1.4,1.1,
303,100.895250,0.3,0.7,1.3,1.0,
304,100.895000,1.1,0.6,1.4,1.1,
305,100.894750,0.5,0.7,1.4,1.1,
306,100.894500,0.0,0.9,1.5,1.2,
307,100.894250,0.2,0.9,1.5,1.2,
308,100.894000,0.7,0.8,1.5,1.2,
309,100.893750,0.1,1.0,1.5,1.3,
310,100.893500,0.4,0.7,1.3,1.1,
311,100.893250,1.1,0.7,1.5,1.1,
312,100.893000,0.6,1.0,1.7,1.3,
313,100.892750,0.4,1.1,1.7,1.3,
314,100.892500,1.1,0.8,1.7,1.1,
315,100.892250,0.8,1.2,1.9,1.3,
316,100.892000,0.1,0.4,0.9,0.8,
317,100.891750,0.7,0.7,1.4,1.1,
318,100.891500,1.0,0.7,1.4,1.1,
319,100.891250,0.3,0.7,1.3,1.0,
320,100.891000,0.1,1.0,1.6,1.2,
321,100.890750,0.3,0.9,1.6,1.1,
322,100.890500,0.2,0.7,1.4,1.0,
323,100.890250,0.0,0.5,1.2,0.8,
324,100.890000,1.1,0.3,1.2,0.8,
325,100.889750,0.2,0.5,1.2,0.8,
326,100.889500,1.1,0.4,1.3,0.9,
327,100.889250,0.0,0.6,1.3,0.9,
328,100.889000,0.3,0.4,1.2,0.8,
329,100.888750,0.9,0.4,1.2,0.8,
330,100.888500,0.4,0.7,1.4,1.0,
331,100.888250,1.2,0.6,1.4,1.0,
332,100.888000,0.3,0.7,1.4,1.0,
333,100.887750,1.3,0.7,1.5,1.0,
334,100.887500,1.0,0.7,1.5,1.1,
335,100.887250,0.4,0.7,1.4,1.0,
336,100.887000,0.2,0.8,1.5,1.1,
337,100.886750,0.0,0.7,1.4,1.0,
338,100.886500,0.8,0.7,1.5,1.0,
339,100.886250,0.7,0.7,1.5,1.0,
340,100.886000,0.5,0.4,1.2,0.8,
341,100.885750,0.0,0.5,1.2,0.8,
342,100.885500,0.4,0.6,1.3,0.9,
343,100.885250,1.1,0.5,1.3,0.9,
344,100.885000,0.6,0.6,1.3,0.9,
345,100.884750,0.0,0.9,1.5,1.1,
346,100.884500,0.1,1.0,1.6,1.1,
347,100.884250,1.1,0.6,1.4,1.0,
348,100.884000,1.0,0.6,1.4,1.0,
349,100.883750,0.0,0.4,1.2,0.8,
350,100.883500,0.6,0.5,1.2,0.8,
351,100.883250,0.7,0.5,1.3,0.9,
352,100.883000,0.0,0.5,1.2,0.8,
353,100.882750,0.2,0.7,1.5,1.0,
354,100.882500,0.2,0.9,1.6,1.0,
355,100.882250,0.1,0.5,1.4,0.7,
356,100.882000,0.9,0.3,1.3,0.7,
357,100.881750,1.4,0.3,1.4,0.9,
358,100.881500,1.0,0.6,1.5,1.0,
359,100.881250,0.6,0.6,1.5,1.0,
360,100.881000,0.6,0.7,1.5,1.0,
361,100.880750,1.0,0.5,1.4,1.0,
362,100.880500,0.8,0.7,1.5,1.0,
363,100.880250,0.1,0.8,1.6,1.0,
364,100.880000,0.1,0.7,1.4,1.0,
365,100.879750,0.5,0.5,1.3,0.8,
366,100.879500,0.7,0.4,1.2,0.8,
367,100.879250,0.6,0.4,1.2,0.8,
368,100.879000,0.5,0.5,1.2,0.9,
369,100.878750,0.5,0.8,1.5,1.1,
370,100.878500,0.8,0.5,1.3,1.0,
371,100.878250,0.6,0.5,1.2,0.9,
372,100.878000,1.2,0.6,1.4,1.0,
373,100.877750,0.0,0.5,1.0,0.9,
374,100.877500,0.0,0.5,1.2,0.9,
375,100.877250,0.2,0.6,1.2,1.0,
376,100.877000,0.0,0.6,1.2,1.0,
377,100.876750,0.7,0.5,1.2,0.9,
378,100.876500,0.7,0.3,1.1,0.8,
379,100.876250,0.0,0.4,1.1,0.7,
380,100.876000,1.0,0.4,1.2,0.8,
381,100.875750,0.0,0.8,1.4,1.0,
382,100.875500,0.0,0.4,1.2,0.7,
383,100.875250,0.3,0.6,1.4,0.9,
384,100.875000,0.6,0.5,1.4,0.7,
385,100.874750,0.7,0.6,1.6,0.9,
386,100.874500,1.3,0.8,1.6,0.9,
387,100.874250,1.4,0.2,1.5,0.7,
388,100.874000,1.3,0.3,1.4,0.8,
389,100.873750,1.0,0.0,1.2,0.5,
390,100.873500,0.4,0.1,1.1,0.5,
391,100.873250,0.0,0.1,1.1,0.5,
392,100.873000,0.0,0.4,1.2,0.7,
393,100.872750,0.2,0.1,1.0,0.5,
394,100.872500,0.3,0.3,1.2,0.7,
395,100.872250,0.9,0.0,1.0,0.5,
396,100.872000,0.0,0.2,1.0,0.5,
397,100.871750,0.9,0.0,0.9,0.4,
398,100.871500,1.2,0.1,1.1,0.6,
399,100.871250,0.1,0.2,1.0,0.5,
