Track Name,,Line name,1141219NKLDN1,Report Name,Wear_right,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
377,104.965750,7.4,0.8,7.1,0.9,
378,104.965500,7.1,1.0,7.2,1.0,
379,104.965250,7.7,1.4,7.4,1.4,
380,104.965000,6.8,0.9,6.9,0.9,
381,104.964750,7.1,1.1,7.1,1.0,
382,104.964500,7.7,1.4,7.5,1.4,
383,104.964250,7.2,1.0,7.2,0.9,
384,104.964000,7.2,0.9,7.2,0.8,
385,104.963750,6.7,1.3,7.4,1.1,
386,104.963500,7.8,0.9,7.4,0.9,
387,104.963250,7.7,0.9,7.4,0.9,
388,104.963000,7.5,1.5,7.7,1.4,
389,104.962750,7.6,0.9,7.3,0.9,
390,104.962500,7.3,1.0,7.4,1.0,
391,104.962250,7.3,1.4,7.6,1.3,
392,104.962000,7.2,1.0,7.4,0.9,
393,104.961750,6.8,1.1,7.5,0.9,
394,104.961500,7.3,1.7,7.8,1.5,
395,104.961250,7.6,0.8,7.2,0.9,
396,104.961000,7.7,0.9,7.2,0.9,
397,104.960750,7.2,1.3,7.3,1.2,
398,104.960500,6.8,1.1,7.2,1.0,
399,104.960250,7.2,0.7,6.9,0.9,
400,104.960000,6.3,1.1,6.9,1.1,
401,104.959750,6.0,0.9,6.8,0.9,
402,104.959500,6.2,0.8,6.8,0.8,
403,104.959250,6.5,0.7,6.7,0.9,
404,104.959000,6.3,0.8,6.8,0.9,
405,104.958750,6.6,0.7,6.7,0.8,
406,104.958500,6.6,1.1,6.8,1.1,
407,104.958250,7.1,0.7,6.7,1.0,
408,104.958000,6.3,0.7,6.7,0.8,
409,104.957750,6.1,1.1,6.7,1.1,
410,104.957500,6.8,0.7,6.5,0.8,
411,104.957250,6.2,0.6,6.4,0.7,
412,104.957000,6.8,0.9,6.8,1.1,
413,104.956750,6.2,0.9,6.7,0.9,
414,104.956500,7.2,0.6,6.6,0.8,
415,104.956250,6.6,0.9,6.7,0.9,
416,104.956000,7.0,0.6,6.7,0.7,
417,104.955750,6.5,0.9,6.9,0.8,
418,104.955500,7.1,1.2,7.2,1.2,
419,104.955250,6.8,1.1,7.2,1.0,
420,104.955000,7.8,1.1,7.4,1.1,
421,104.954750,7.1,1.6,7.7,1.4,
422,104.954500,7.9,1.1,7.8,1.1,
423,104.954250,7.7,1.0,8.1,0.9,
424,104.954000,8.7,1.6,8.2,1.5,
425,104.953750,7.6,1.1,7.7,0.9,
426,104.953500,6.9,0.8,7.3,0.7,
427,104.953250,7.3,1.6,7.6,1.4,
428,104.953000,7.5,0.5,6.9,0.6,
429,104.952750,6.3,0.7,6.9,0.5,
430,104.952500,7.0,1.5,7.2,1.4,
431,104.952250,7.6,0.7,7.0,0.7,
432,104.952000,6.1,0.8,6.7,0.6,
433,104.951750,7.4,1.2,7.0,1.2,
434,104.951500,6.8,0.5,6.7,0.5,
435,104.951250,6.8,0.4,6.7,0.4,
436,104.951000,6.2,1.2,7.0,1.0,
437,104.950750,7.3,0.6,6.9,0.7,
438,104.950500,6.2,0.5,6.8,0.5,
439,104.950250,7.2,1.3,7.3,1.2,
440,104.950000,6.5,0.5,7.1,0.6,
441,104.949750,6.9,0.7,7.2,0.6,
442,104.949500,7.6,1.3,7.4,1.4,
443,104.949250,7.5,0.6,7.1,0.8,
444,104.949000,7.0,0.6,7.1,0.6,
445,104.948750,7.7,1.2,7.3,1.2,
446,104.948500,6.7,0.7,7.0,0.7,
447,104.948250,7.1,0.5,6.9,0.6,
448,104.948000,7.1,1.2,7.1,1.2,
449,104.947750,6.4,0.4,6.8,0.6,
450,104.947500,7.3,0.3,6.8,0.5,
451,104.947250,6.5,1.0,6.9,1.0,
452,104.947000,6.0,0.2,6.5,0.4,
453,104.946750,7.1,0.1,6.5,0.4,
454,104.946500,7.4,0.6,6.8,0.8,
455,104.946250,6.4,0.6,6.9,0.5,
456,104.946000,6.5,0.5,6.9,0.5,
457,104.945750,7.5,1.2,7.2,1.2,
458,104.945500,7.0,0.6,7.0,0.6,
459,104.945250,6.2,0.6,6.8,0.5,
460,104.945000,6.7,1.2,7.2,1.1,
461,104.944750,7.1,0.6,7.0,0.6,
462,104.944500,7.0,0.4,6.8,0.5,
463,104.944250,7.4,1.2,7.1,1.1,
464,104.944000,7.1,0.8,7.0,0.8,
465,104.943750,6.3,0.8,7.0,0.6,
466,104.943500,7.2,1.2,7.3,1.1,
467,104.943250,6.9,0.8,7.1,0.6,
468,104.943000,6.4,0.7,7.0,0.5,
469,104.942750,7.6,1.1,7.2,1.0,
470,104.942500,7.3,0.5,7.0,0.4,
471,104.942250,6.6,0.5,7.0,0.4,
472,104.942000,7.9,1.1,7.4,1.0,
473,104.941750,7.6,0.6,7.1,0.5,
474,104.941500,7.4,0.9,7.3,0.7,
475,104.941250,7.5,1.2,7.4,1.1,
476,104.941000,6.9,0.7,7.2,0.6,
477,104.940750,6.9,0.6,7.0,0.5,
478,104.940500,7.6,1.4,7.3,1.3,
479,104.940250,7.4,0.5,6.8,0.6,
480,104.940000,7.1,0.4,6.7,0.5,
481,104.939750,6.4,0.9,6.9,1.0,
482,104.939500,7.3,0.3,6.6,0.5,
483,104.939250,6.6,0.3,6.4,0.5,
484,104.939000,7.1,0.8,6.5,1.0,
