Track Name,,Line name,1141219NKLDN1,Report Name,Wear_left,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
201,105.009750,8.7,0.1,7.8,0.2,
202,105.009500,8.5,0.0,7.5,0.2,
203,105.009250,8.5,0.0,7.4,-0.1,
204,105.009000,8.4,0.2,7.5,0.2,
205,105.008750,8.3,0.0,7.4,-0.1,
206,105.008500,8.1,0.0,7.1,-0.4,
207,105.008250,7.9,0.0,6.8,-0.4,
208,105.008000,8.1,0.0,7.1,-0.2,
209,105.007750,8.0,0.0,6.9,-0.4,
210,105.007500,7.9,0.0,6.9,-0.0,
211,105.007250,8.0,0.0,7.1,0.0,
212,105.007000,7.9,0.0,7.0,0.0,
213,105.006750,8.0,0.1,7.1,0.2,
214,105.006500,7.9,0.0,6.9,-0.0,
215,105.006250,7.9,0.0,7.0,0.0,
216,105.006000,7.9,0.0,7.1,0.1,
217,105.005750,8.0,0.0,7.1,-0.1,
218,105.005500,8.0,0.0,7.0,0.0,
219,105.005250,8.0,0.0,7.0,-0.2,
220,105.005000,8.4,0.0,7.4,-0.0,
221,105.004750,8.5,0.0,7.7,0.2,
222,105.004500,8.7,0.2,7.8,0.3,
223,105.004250,8.7,0.0,7.9,0.0,
224,105.004000,8.9,0.0,8.2,0.1,
225,105.003750,8.9,0.1,8.2,0.2,
226,105.003500,9.2,0.1,8.4,0.2,
227,105.003250,9.1,0.4,8.4,0.4,
228,105.003000,9.2,0.3,8.5,0.2,
229,105.002750,9.3,0.4,8.8,0.3,
230,105.002500,9.1,0.3,8.6,0.2,
231,105.002250,9.1,0.4,8.6,0.2,
232,105.002000,9.1,0.4,8.6,0.3,
233,105.001750,8.9,0.4,8.4,0.3,
234,105.001500,8.8,0.3,8.3,0.2,
235,105.001250,8.8,0.3,8.2,0.3,
236,105.001000,8.6,0.2,8.1,0.2,
237,105.000750,8.4,0.1,7.9,0.1,
238,105.000500,8.4,0.0,7.7,0.1,
239,105.000250,8.2,0.0,7.4,-0.1,
