Track Name,,Line name,1150114XYLDN,Report Name,Wear_left,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
456,101.686000,7.3,0.9,6.1,0.7,
457,101.685750,7.2,0.9,6.0,0.7,
458,101.685500,7.3,0.9,6.1,0.6,
459,101.685250,7.1,0.8,6.0,0.7,
460,101.685000,7.2,0.9,6.1,0.8,
461,101.684750,7.2,0.8,6.0,0.7,
462,101.684500,7.2,0.9,6.1,0.8,
463,101.684250,7.2,0.9,6.1,0.8,
464,101.684000,7.2,0.8,6.1,0.6,
465,101.683750,7.5,1.0,6.2,1.6,
466,101.683500,6.7,1.2,5.9,1.9,
467,101.683250,6.1,0.7,5.1,0.8,
468,101.683000,5.6,0.8,4.6,0.9,
469,101.682750,4.8,0.8,4.0,0.9,
470,101.682500,4.3,0.7,3.6,0.8,
471,101.682250,4.0,1.1,3.5,1.1,
472,101.682000,3.8,1.3,3.3,1.2,
473,101.681750,3.2,1.0,2.8,1.0,
474,101.681500,2.9,1.2,2.6,1.1,
475,101.681250,2.7,1.1,2.5,1.2,
476,101.681000,2.2,0.9,2.1,0.9,
477,101.680750,2.1,1.0,2.1,1.0,
478,101.680500,2.0,1.0,2.0,1.0,
479,101.680250,2.0,1.1,2.1,1.1,
480,101.680000,1.6,1.0,1.7,1.0,
481,101.679750,1.5,1.0,1.7,1.1,
482,101.679500,1.5,0.8,1.5,1.0,
483,101.679250,1.2,0.6,0.6,1.0,
484,101.679000,1.3,0.7,0.4,1.0,
485,101.678750,1.2,0.4,0.1,0.8,
486,101.678500,1.4,0.7,0.5,1.0,
487,101.678250,1.4,0.6,0.4,0.9,
488,101.678000,1.4,0.6,0.5,0.9,
489,101.677750,1.4,0.8,0.6,1.1,
490,101.677500,1.4,0.6,0.6,1.0,
491,101.677250,1.5,0.8,0.8,1.1,
492,101.677000,1.4,0.7,0.8,1.0,
493,101.676750,1.5,0.7,1.0,1.0,
494,101.676500,1.5,0.6,0.9,0.9,
495,101.676250,1.5,0.6,0.9,1.0,
496,101.676000,1.6,0.8,1.1,1.1,
497,101.675750,1.6,0.6,1.2,1.0,
498,101.675500,1.5,0.6,1.1,0.9,
499,101.675250,1.5,0.6,1.1,0.9,
500,101.675000,1.5,0.3,0.8,0.7,
501,101.674750,1.6,0.6,1.0,1.0,
502,101.674500,1.7,0.9,1.3,1.2,
503,101.674250,1.8,0.8,1.2,1.1,
504,101.674000,1.9,0.8,1.1,1.1,
505,101.673750,1.8,0.8,1.0,1.1,
506,101.673500,1.7,0.5,0.8,0.8,
507,101.673250,1.7,0.4,0.5,0.8,
508,101.673000,1.5,0.3,0.4,0.7,
509,101.672750,1.9,0.3,0.4,0.6,
510,101.672500,1.9,0.6,0.5,0.9,
511,101.672250,2.0,0.7,0.5,1.0,
512,101.672000,2.0,0.5,0.4,0.8,
513,101.671750,1.9,0.6,0.2,1.0,
514,101.671500,2.0,0.7,0.2,1.0,
515,101.671250,1.8,0.4,0.0,0.7,
516,101.671000,2.0,0.9,0.1,1.2,
517,101.670750,2.0,1.9,0.6,2.1,
518,101.670500,2.1,2.2,0.6,2.3,
519,101.670250,2.1,0.5,0.0,0.8,
520,101.670000,2.3,0.7,0.2,1.0,
521,101.669750,3.1,0.3,0.8,0.6,
522,101.669500,3.0,0.5,0.4,0.9,
523,101.669250,3.9,0.6,1.2,1.1,
524,101.669000,4.7,0.1,1.8,0.2,
525,101.668750,5.4,1.1,2.8,1.2,
526,101.668500,0.8,0.0,0.0,-10.1,
527,101.668250,0.3,0.0,0.0,-10.7,
528,101.668000,4.2,0.7,1.5,5.6,
529,101.667750,4.2,0.5,1.4,1.2,
530,101.667500,2.6,0.0,0.0,-0.1,
531,101.667250,3.1,0.3,0.2,0.7,
532,101.667000,3.0,0.4,0.3,0.7,
533,101.666750,2.6,0.4,0.1,0.7,
534,101.666500,1.8,0.2,0.0,0.6,
535,101.666250,1.9,0.5,0.2,0.8,
536,101.666000,1.5,0.1,0.0,0.5,
537,101.665750,1.7,0.6,0.7,1.0,
538,101.665500,1.6,0.7,0.9,1.0,
539,101.665250,1.5,0.3,0.9,0.7,
540,101.665000,1.5,0.7,1.3,1.0,
541,101.664750,1.4,0.9,1.5,1.0,
542,101.664500,1.3,0.5,1.4,0.7,
543,101.664250,1.3,0.9,1.8,1.0,
544,101.664000,1.4,1.0,1.9,0.9,
545,101.663750,1.4,0.8,1.9,0.7,
546,101.663500,1.5,1.2,2.3,1.0,
547,101.663250,1.7,1.4,2.7,1.2,
548,101.663000,1.7,1.2,2.7,1.1,
549,101.662750,1.6,1.0,2.5,1.0,
